Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Brazil,BRA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,66.44295302,100,124.4458032,134.1584343,126.330954,123.7563749,119.5613109,106.4118384,109.6415083,115.9903352,114.8827283,..
Brazil,BRA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,120311895094.7,242511685521.8,352364412862.6,404046105342.1,440515187632.7,483765362833.9,556919645475.4,543397354634.3,543257223431.4,542979659110.9,557822647211.2,..
Brazil,BRA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,22.6383320676081,87.0046232489443,18.3752189034516,18.7304465826475,15.6603007623962,28.0022486784635,22.8975850890091,39.7318229702261,50.9592737097208,34.708387299173,31.7447689220221,..
Brazil,BRA,Net migration,SM.POP.NETM,..,..,..,..,15924,..,..,..,..,106000,..,..
Brazil,BRA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,573000000,1349591000,3082801866.11,3214602242.94,2784072055.49,2717675068.66,2647908513.04,2896909951.71,2739786526.59,2698770651.24,2933489276.49,..
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,989000000,32994718699.75,82389933624.1,102427229784.41,92568379494.5,75211028087.44,87713987796.95,60334050667.77,73377909022.23,70257759617.82,88324149805.23,..
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,87.475116,94.3932952880859,98.8462677001953,99.328691,99.519494,99.575151,99.650247,99.710902,99.7,100,..,..
Brazil,BRA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,58.9484321450143,74.3799391888103,94.1143729680585,96.1905873870837,97.2218134003495,97.5020335050058,97.9100769987215,98.2324092295465,98.4671299664193,100,..,..
Brazil,BRA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,97.538681,99.0293579101563,99.7252044677734,99.898571,99.927418,99.935013,99.945554,99.956197,99.9,100,..,..
Brazil,BRA,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,73.084204,78.8951482,83.0251928,83.3413104,83.657428,83.9189164,84.1804048,84.4418932,84.7033816,84.96487,..,..
Brazil,BRA,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,59.3869886,64.9104174,70.2457144,70.7755472,71.30538,71.6245066,71.9436332,72.2627598,72.5818864,72.901013,..,..
Brazil,BRA,"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,..,7.6,8.7,..,..,..,..,9.9,10,..,..,..
Brazil,BRA,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,..,2,2.8,..,..,..,..,3.2,3.1,..,..,..
Brazil,BRA,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,..,4.8,5.7,..,..,..,..,6.5,6.5,..,..,..
Brazil,BRA,Poverty gap at national poverty lines (%),SI.POV.NAGP,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,30.7,..,..,9.6,8,7.7,6.5,7.3,8.4,8.7,..,..
Brazil,BRA,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,17.6,..,..,4.1,3.4,3.3,2.5,2.9,3.7,4,..,..
Brazil,BRA,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,8.7,..,..,1.9,1.5,1.5,1,1.2,1.6,1.8,..,..
Brazil,BRA,Number of deaths ages 5-14 years,SH.DTH.0514,15834,11698,9920,..,..,..,..,8243,..,..,7339,..
Brazil,BRA,Number of infant deaths,SH.DTH.IMRT,193594,106963,50212,47840,45908,44283,42845,41509,43063,38792,37421,..
Brazil,BRA,Number of neonatal deaths,SH.DTH.NMRT,93795,64161,33531,31936,30610,29641,28826,27783,28437,24944,23715,..
Brazil,BRA,Number of under-five deaths,SH.DTH.MORT,233307,122570,56386,53673,51460,49612,47983,46479,48237,43455,41940,..
Brazil,BRA,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,25.3,18.3,11.2,10.7,10.3,10,9.7,9.4,9.6,8.5,8.1,..
Brazil,BRA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,52.5,30.4,16.7,16,15.4,14.9,14.5,14,14.6,13.2,12.8,..
Brazil,BRA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,289.956,247.531,207.604,204.383,201.161,198.648,196.135,193.622,191.109,188.596,..,..
Brazil,BRA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,158.83,125.46,102.251,100.77,99.288,97.893,96.498,95.103,93.708,92.313,..,..
Brazil,BRA,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..,..,..,..,..,..,..,..,1,..,..,..
Brazil,BRA,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,..,29.2,23,..,..,..,..,20.5,20,..,..,..
Brazil,BRA,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS,..,20,15.4,..,..,..,..,13.8,13.5,..,..,..
Brazil,BRA,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,..,24.4,19,..,..,..,..,17,16.6,..,..,..
Brazil,BRA,"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,..,..,..,..,..,23.4,..,..,19.7,..,..,..
Brazil,BRA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,63.066,66.421,69.95,70.265,70.56,70.838,71.099,71.345,71.578,71.804,..,..
Brazil,BRA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,69.823,74.003,77.378,77.658,77.929,78.193,78.45,78.698,78.934,79.156,..,..
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,2.870685159,40.65,45.69,48.56,51.04,54.55100188,58.32795173,60.87254007,67.47128452,..,..
Brazil,BRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.84187100023273,2.91182644263147,6.52437280430098,3.02640456781005,1.01453521432917,2.10888840464017,-0.352479217688355,-4.35148398862317,-4.0987022546979,0.251410418805705,0.328069801440051,..
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,3100.28046842987,3749.75324996168,11286.2430162457,13245.615526158,12370.0242007149,12300.3225752233,12112.5903019529,8814.00098681261,8712.88704442864,9880.94654326324,8920.76210462979,..
Brazil,BRA,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,..,..,8.8,..,..,..,..,..,7.8,..,..,..
Brazil,BRA,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,..,..,3,..,..,..,..,..,2.4,..,..,..
Brazil,BRA,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,..,..,15,..,..,..,..,..,13.4,..,..,..
Brazil,BRA,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,..,25.2,17.2,16.7,16,15.5,14.9,14.3,13.9,..,..,..
Brazil,BRA,"Smoking prevalence, males (% of adults)",SH.PRV.SMOK.MA,..,30.6,21.8,21.1,20.3,19.7,19.1,18.4,17.9,..,..,..
Brazil,BRA,"Smoking prevalence, females (% of adults)",SH.PRV.SMOK.FE,..,20.1,12.9,12.5,11.9,11.5,11,10.5,10.1,..,..,..
Brazil,BRA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,11.9,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Brazil,BRA,"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Population, male",SP.POP.TOTL.MA.IN,74077776,86581634,96536268,97385183,98220333,99043431,99855748,100657521,101450193,102232091,102996245,..
Brazil,BRA,"Population, female",SP.POP.TOTL.FE.IN,74925447,88208706,99177367,100129351,101066963,101992472,102907987,103814248,104712865,105601740,106473088,..
Brazil,BRA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.2844471990455,50.4654350490161,50.6747355576454,50.6946751834337,50.7142025894958,50.7334615213808,50.752659213079,50.7719224932182,50.7912843511594,50.8106594294745,50.8299167629894,..
